stop_purpose,tour_purpose,freq
04: Escort,1: Work,354446
04: Escort,2: University,29851
04: Escort,3: School,265071
04: Escort,4: Escort,405996
04: Escort,5: Individual Maintenance,93111
04: Escort,6: Individual Discretionary,85227
04: Escort,7: Joint Maintenance,14991
04: Escort,8: Joint Discretionary,13052
04: Escort,9: Work-based,1376
05: Shopping,1: Work,225505
05: Shopping,2: University,15250
05: Shopping,3: School,49708
05: Shopping,4: Escort,157523
05: Shopping,5: Individual Maintenance,293818
05: Shopping,6: Individual Discretionary,128381
05: Shopping,7: Joint Maintenance,39957
05: Shopping,8: Joint Discretionary,20062
05: Shopping,9: Work-based,1449
06: Maintenance,1: Work,98752
06: Maintenance,2: University,9189
06: Maintenance,3: School,28422
06: Maintenance,4: Escort,87576
06: Maintenance,5: Individual Maintenance,179295
06: Maintenance,6: Individual Discretionary,47562
06: Maintenance,7: Joint Maintenance,25528
06: Maintenance,8: Joint Discretionary,8205
06: Maintenance,9: Work-based,1952
07: Eating,1: Work,354269
07: Eating,2: University,12399
07: Eating,3: School,48400
07: Eating,4: Escort,86704
07: Eating,5: Individual Maintenance,125273
07: Eating,6: Individual Discretionary,79454
07: Eating,7: Joint Maintenance,17264
07: Eating,8: Joint Discretionary,12302
07: Eating,9: Work-based,7973
08: Visiting,1: Work,142142
08: Visiting,2: University,5394
08: Visiting,3: School,11048
08: Visiting,4: Escort,31893
08: Visiting,5: Individual Maintenance,32812
08: Visiting,6: Individual Discretionary,66038
08: Visiting,7: Joint Maintenance,4843
08: Visiting,8: Joint Discretionary,8191
08: Visiting,9: Work-based,1162
09: Other Discretionary,1: Work,71415
09: Other Discretionary,2: University,13278
09: Other Discretionary,3: School,79217
09: Other Discretionary,4: Escort,20271
09: Other Discretionary,5: Individual Maintenance,38666
09: Other Discretionary,6: Individual Discretionary,116407
09: Other Discretionary,7: Joint Maintenance,5212
09: Other Discretionary,8: Joint Discretionary,14735
09: Other Discretionary,9: Work-based,87
10: Work-Related,1: Work,54026
10: Work-Related,9: Work-based,16456
