District,purpose,survey_value,model_value
1: Downtown,Work,5.86323242,7.759766886416576
2: Central,Work,10.29683995,9.376028638717775
3: North City,Work,10.67605483,11.413549818503991
4: South Suburban,Work,12.59282963,12.95554443402871
5: East Suburban,Work,13.30688545,14.097615550706658
6: North County West,Work,12.54526688,12.801867181274115
7: North County East,Work,14.19577578,13.946295729094125
8: East County,Work,83.90466763,28.30558714327609
Total,Work,11.80018143,12.15970165362293
1: Downtown,University,5.871548233,5.397326596017794
2: Central,University,8.567214807,7.952146128644431
3: North City,University,6.898113761,8.326459012287055
4: South Suburban,University,8.794075844,10.2809191288623
5: East Suburban,University,8.293921725,10.418405108659902
6: North County West,University,12.17061039,9.890250223809536
7: North County East,University,9.97664849,8.947104149590418
8: East County,University,0.0,24.7780538818003
Total,University,8.553852451,9.089308031356495
1: Downtown,School,10.78317487,3.3545358036820736
2: Central,School,4.885508205,4.460403639559882
3: North City,School,4.206015383,5.121409644271613
4: South Suburban,School,3.206567944,3.4263056492320243
5: East Suburban,School,3.798446842,4.032345439519546
6: North County West,School,4.213334704,4.139519671571134
7: North County East,School,4.768302548,3.466348586641701
8: East County,School,0.0,10.456234564105726
Total,School,4.264163017,4.2342352755895325
