num_stops,purpose,Direction,survey_value,model_value
0,1: Work,Inbound,694735.9731,898530.0
1,1: Work,Inbound,237948.9088,159612.0
2,1: Work,Inbound,97070.05611,52817.0
3,1: Work,Inbound,92221.3536,68584.0
4,1: Work,Inbound,0.0,0.0
5,1: Work,Inbound,0.0,0.0
6,1: Work,Inbound,0.0,0.0
0,2: University,Inbound,133140.986,84071.0
1,2: University,Inbound,31264.43619,20248.0
2,2: University,Inbound,11400.05287,5473.0
3,2: University,Inbound,14584.15052,31.0
4,2: University,Inbound,0.0,0.0
5,2: University,Inbound,0.0,0.0
6,2: University,Inbound,0.0,0.0
0,3: School,Inbound,247344.0848,478847.0
1,3: School,Inbound,77191.76424,80952.0
2,3: School,Inbound,35489.80753,13031.0
3,3: School,Inbound,23156.83641,22363.0
4,3: School,Inbound,0.0,0.0
5,3: School,Inbound,0.0,0.0
6,3: School,Inbound,0.0,0.0
0,4: Escort,Inbound,326255.8164,835863.0
1,4: Escort,Inbound,62839.80091,118918.0
2,4: Escort,Inbound,18838.61534,37756.0
3,4: Escort,Inbound,15960.16086,60214.0
4,4: Escort,Inbound,0.0,0.0
5,4: Escort,Inbound,0.0,0.0
6,4: Escort,Inbound,0.0,0.0
0,5: Individual Maintenance,Inbound,351999.5632,488592.0
1,5: Individual Maintenance,Inbound,119887.4438,129853.0
2,5: Individual Maintenance,Inbound,43519.09281,54274.0
3,5: Individual Maintenance,Inbound,30224.84104,38769.0
4,5: Individual Maintenance,Inbound,0.0,0.0
5,5: Individual Maintenance,Inbound,0.0,0.0
6,5: Individual Maintenance,Inbound,0.0,0.0
0,6: Individual Discretionary,Inbound,467131.6673,340400.0
1,6: Individual Discretionary,Inbound,101403.876,84390.0
2,6: Individual Discretionary,Inbound,30902.15104,31400.0
3,6: Individual Discretionary,Inbound,26820.85424,51480.0
4,6: Individual Discretionary,Inbound,0.0,0.0
5,6: Individual Discretionary,Inbound,0.0,0.0
6,6: Individual Discretionary,Inbound,0.0,0.0
0,7: Joint Maintenance,Inbound,46537.01123,59534.0
1,7: Joint Maintenance,Inbound,13786.58788,18617.0
2,7: Joint Maintenance,Inbound,3418.105392,7670.0
3,7: Joint Maintenance,Inbound,2288.048567,5543.0
4,7: Joint Maintenance,Inbound,0.0,0.0
5,7: Joint Maintenance,Inbound,0.0,0.0
6,7: Joint Maintenance,Inbound,0.0,0.0
0,8: Joint Discretionary,Inbound,61189.63594,52805.0
1,8: Joint Discretionary,Inbound,13156.60821,14567.0
2,8: Joint Discretionary,Inbound,3159.638632,4324.0
3,8: Joint Discretionary,Inbound,2289.488338,6939.0
4,8: Joint Discretionary,Inbound,0.0,0.0
5,8: Joint Discretionary,Inbound,0.0,0.0
6,8: Joint Discretionary,Inbound,0.0,0.0
0,9: Work-based,Inbound,194294.2494,106705.0
1,9: Work-based,Inbound,21156.01417,6925.0
2,9: Work-based,Inbound,3753.066474,677.0
3,9: Work-based,Inbound,3252.949093,1269.0
4,9: Work-based,Inbound,0.0,0.0
5,9: Work-based,Inbound,0.0,0.0
6,9: Work-based,Inbound,0.0,0.0
0,1: Work,Outbound,862636.7593,709471.0
1,1: Work,Outbound,156195.4091,244586.0
2,1: Work,Outbound,58101.70738,91487.0
3,1: Work,Outbound,45042.41574,133999.0
4,1: Work,Outbound,0.0,0.0
5,1: Work,Outbound,0.0,0.0
6,1: Work,Outbound,0.0,0.0
0,2: University,Outbound,131178.8838,78299.0
1,2: University,Outbound,34063.17137,16922.0
2,2: University,Outbound,11436.25486,6654.0
3,2: University,Outbound,13711.31558,7948.0
4,2: University,Outbound,0.0,0.0
5,2: University,Outbound,0.0,0.0
6,2: University,Outbound,0.0,0.0
0,3: School,Outbound,307927.3749,408647.0
1,3: School,Outbound,53816.33367,102676.0
2,3: School,Outbound,9322.477708,46523.0
3,3: School,Outbound,12116.30671,37347.0
4,3: School,Outbound,0.0,0.0
5,3: School,Outbound,0.0,0.0
6,3: School,Outbound,0.0,0.0
0,4: Escort,Outbound,344715.8235,795328.0
1,4: Escort,Outbound,47631.96722,156917.0
2,4: Escort,Outbound,15224.6958,43544.0
3,4: Escort,Outbound,16321.90703,56962.0
4,4: Escort,Outbound,0.0,0.0
5,4: Escort,Outbound,0.0,0.0
6,4: Escort,Outbound,0.0,0.0
0,5: Individual Maintenance,Outbound,368568.3769,450494.0
1,5: Individual Maintenance,Outbound,103133.7365,160280.0
2,5: Individual Maintenance,Outbound,46651.23607,54155.0
3,5: Individual Maintenance,Outbound,27277.59132,46559.0
4,5: Individual Maintenance,Outbound,0.0,0.0
5,5: Individual Maintenance,Outbound,0.0,0.0
6,5: Individual Maintenance,Outbound,0.0,0.0
0,6: Individual Discretionary,Outbound,436549.0559,370532.0
1,6: Individual Discretionary,Outbound,110995.7981,82778.0
2,6: Individual Discretionary,Outbound,40113.58783,24419.0
3,6: Individual Discretionary,Outbound,38600.10676,29941.0
4,6: Individual Discretionary,Outbound,0.0,0.0
5,6: Individual Discretionary,Outbound,0.0,0.0
6,6: Individual Discretionary,Outbound,0.0,0.0
0,7: Joint Maintenance,Outbound,52186.72442,55274.0
1,7: Joint Maintenance,Outbound,10668.22242,21400.0
2,7: Joint Maintenance,Outbound,2667.000091,8261.0
3,7: Joint Maintenance,Outbound,507.8061394,6429.0
4,7: Joint Maintenance,Outbound,0.0,0.0
5,7: Joint Maintenance,Outbound,0.0,0.0
6,7: Joint Maintenance,Outbound,0.0,0.0
0,8: Joint Discretionary,Outbound,68532.15729,57260.0
1,8: Joint Discretionary,Outbound,7971.778893,14101.0
2,8: Joint Discretionary,Outbound,2309.569215,3408.0
3,8: Joint Discretionary,Outbound,981.8657202,3866.0
4,8: Joint Discretionary,Outbound,0.0,0.0
5,8: Joint Discretionary,Outbound,0.0,0.0
6,8: Joint Discretionary,Outbound,0.0,0.0
0,9: Work-based,Outbound,203436.1277,101631.0
1,9: Work-based,Outbound,13706.30418,10834.0
2,9: Work-based,Outbound,1506.746537,1798.0
3,9: Work-based,Outbound,3807.100787,1313.0
4,9: Work-based,Outbound,0.0,0.0
5,9: Work-based,Outbound,0.0,0.0
6,9: Work-based,Outbound,0.0,0.0
0,1: Work,Total,556200.7337,551716.0
1,1: Work,Total,263681.7195,274980.0
2,1: Work,Total,130960.5976,125506.0
3,1: Work,Total,68704.64377,165796.0
4,1: Work,Total,41460.72533,39979.0
5,1: Work,Total,19283.16689,12137.0
6,1: Work,Total,41684.70475,9429.0
0,2: University,Total,99884.4583,61930.0
1,2: University,Total,33943.66538,21677.0
2,2: University,Total,23463.42901,15246.0
3,2: University,Total,15337.1941,10728.0
4,2: University,Total,7664.305694,207.0
5,2: University,Total,3552.560099,30.0
6,2: University,Total,6544.01302,5.0
0,3: School,Total,200898.3769,334283.0
1,3: School,Total,93057.88077,126854.0
2,3: School,Total,43260.2833,59043.0
3,3: School,Total,23774.00816,63224.0
4,3: School,Total,9806.230458,11691.0
5,3: School,Total,7957.01813,98.0
6,3: School,Total,4428.695253,0.0
0,4: Escort,Total,277923.7395,665059.0
1,4: Escort,Total,75842.3972,187266.0
2,4: Escort,Total,28469.86833,67739.0
3,4: Escort,Total,17093.23169,86306.0
4,4: Escort,Total,11333.11539,32309.0
5,4: Escort,Total,5412.339141,5367.0
6,4: Escort,Total,7819.702293,8705.0
0,5: Individual Maintenance,Total,243232.2408,315451.0
1,5: Individual Maintenance,Total,143688.6931,190689.0
2,5: Individual Maintenance,Total,77355.73183,92649.0
3,5: Individual Maintenance,Total,40912.12006,78458.0
4,5: Individual Maintenance,Total,22870.29594,22955.0
5,5: Individual Maintenance,Total,10226.84575,7922.0
6,5: Individual Maintenance,Total,7345.013321,3364.0
0,6: Individual Discretionary,Total,330485.3643,242396.0
1,6: Individual Discretionary,Total,141344.9701,113403.0
2,6: Individual Discretionary,Total,76685.8279,62344.0
3,6: Individual Discretionary,Total,31182.50243,77796.0
4,6: Individual Discretionary,Total,24455.45965,8322.0
5,6: Individual Discretionary,Total,9164.988519,2152.0
6,6: Individual Discretionary,Total,12939.43569,1257.0
0,7: Joint Maintenance,Total,36673.18488,35255.0
1,7: Joint Maintenance,Total,19192.43716,25514.0
2,7: Joint Maintenance,Total,5448.021269,14524.0
3,7: Joint Maintenance,Total,3545.351515,12800.0
4,7: Joint Maintenance,Total,738.8109797,2079.0
5,7: Joint Maintenance,Total,339.6498979,635.0
6,7: Joint Maintenance,Total,92.297375,557.0
0,8: Joint Discretionary,Total,53750.42766,36332.0
1,8: Joint Discretionary,Total,15884.44864,21288.0
2,8: Joint Discretionary,Total,5694.755434,9231.0
3,8: Joint Discretionary,Total,1617.475924,10751.0
4,8: Joint Discretionary,Total,701.0816819,756.0
5,8: Joint Discretionary,Total,2050.994953,142.0
6,8: Joint Discretionary,Total,96.18682275,135.0
0,9: Work-based,Total,178463.496,93628.0
1,9: Work-based,Total,30975.69533,16124.0
2,9: Work-based,Total,6212.394969,3141.0
3,9: Work-based,Total,2031.594353,2683.0
4,9: Work-based,Total,814.30916,0.0
5,9: Work-based,Total,1481.719663,0.0
6,9: Work-based,Total,1851.598321,0.0
0,Total,Inbound,2522628.9873699998,3345347.0
1,Total,Inbound,678635.4402,634082.0
2,Total,Inbound,247550.58619799998,207422.0
3,Total,Inbound,210798.68266799996,255192.0
4,Total,Inbound,0.0,0.0
5,Total,Inbound,0.0,0.0
6,Total,Inbound,0.0,0.0
0,Total,Outbound,2775731.2837099996,3026936.0
1,Total,Outbound,538182.721453,810494.0
2,Total,Outbound,187333.27549099998,280249.0
3,Total,Outbound,158366.4157866,324364.0
4,Total,Outbound,0.0,0.0
5,Total,Outbound,0.0,0.0
6,Total,Outbound,0.0,0.0
0,Total,Total,1977512.0220400002,2336050.0
1,Total,Total,817611.90718,977795.0
2,Total,Total,397550.90964200004,449423.0
3,Total,Total,204198.12200199996,508542.0
4,Total,Total,119844.33428360002,118298.0
5,Total,Total,59469.28304290001,28483.0
6,Total,Total,82801.64684574999,23452.0
